Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
95,9/6/2018,17:56:34,50,275940 I15 SB,2,3778,354.83,40.35767,-111.78075,6,3,0.1771,2,24632,64594,67594,,,,,,
96,9/7/2018,10:55:38,13,2700 S I15 NB,2,5808,319.56,40.70797,-111.90357,6,1,0.1667,1,24446,39338,40118,,,,,,
97,9/12/2018,15:29:29,27,14931 S I15 NB,2,5004,379.46,40.49913,-111.89097,5,1,0.2,1,29994,55769,57389,,,,,,
98,9/14/2018,13:28:48,18,281917 I15 SB,2,5592,213.12,40.40772,-111.85927,4,1,0.25,2,24670,48528,49608,,,,,,
99,9/21/2018,17:26:10,16,277023 I15 NB,2,6583,329.64,40.36692,-111.79517,6,2,0.2,1,24436,62770,63730,,,,,,
100,9/27/2018,9:30:27,16,284049 I15 SB,2,5199,317.66,40.574,-111.90003,4,1,0.3231,1,24399,34227,35187,,,,,,
101,9/28/2018,10:50:49,41,600 N I15 NB,2,8932,222.16,40.60594,-111.9049,5,1,0.1667,2,4554,39049,41509,,,,,,
102,3/1/2018,14:33:27,75,8200 S I15 NB,3,8244,749.32,40.598153,-111.903312,6,1,0.1667,1,24917,52407,56907,,,,,,
103,3/1/2018,15:12:48,32,10700 S I15 NB,3,10630,755.07,40.557354,-111.897704,5,2,0.325,1,24876,54768,56688,,,,,,
104,3/6/2018,16:41:15,30,376 N I215W NB,3,1792,580.07,40.779378,-111.948981,3,1,0.3333,1,24399,60075,61875,,,,,,
105,3/7/2018,8:56:41,42,277562 I15 NB,3,2605,483.09,40.371936,-111.803263,6,2,0.3333,2,24605,32201,34721,,,,,,
106,3/7/2018,17:25:07,68,1400 W I215S WB,3,6184,530.04,40.64405,-111.92848,5,4,0.7967,1,34230,62707,66787,,,,,,
107,3/15/2018,16:48:01,85,4100 S I215E NB,3,1662,700.07,40.68186,-111.79793,3,1,0.3333,1,24374,60481,65581,,,,,,
108,3/20/2018,16:36:59,19,12500 S I15 NB,3,10807,487.64,40.51509,-111.89093,6,2,0.2179,1,24374,59819,60959,,,,,,
109,3/27/2018,16:18:37,39,50 S I15 NB,3,12787,484,40.753565,-111.910908,4,1,0.25,1,24939,58717,61057,,,,,,
110,5/1/2018,17:35:29,93,382 S I215W SB,3,5868,449.68,40.7589,-111.95045,5,5,0.678,1,46790,63329,68909,,,,,,
111,5/4/2018,15:07:43,76,2100 S I15 SB,3,1099,502.45,40.72636,-111.90424,4,3,0.3,1,24924,54463,59023,,,,,,
112,5/9/2018,14:24:06,24,8600 S I15 SB,3,4308,729.7,40.60283,-111.9043,4,4,0.8575,2,24436,51846,53286,,,,,,
113,5/16/2018,8:01:14,120,525 E I215S WB,3,9089,753.32,40.63128,-111.8837,3,3,1,4,38325,28874,36074,,,,,,
114,5/23/2018,16:27:47,82,278066 I15 SB,3,6475,512.4,40.76439,-111.98654,6,2,0.3333,1,24915,59267,64187,,,,,,
115,6/18/2018,15:25:22,73,278101 I15 NB,3,12443,425.73,40.37148,-111.80244,6,1,0.1667,3,25050,55522,59902,,,,,,
116,6/20/2018,9:17:43,37,274530 I15 NB,3,3321,634.21,40.64801,-111.9023,6,1,0.382,2,24496,33463,35683,,,,,,
117,6/20/2018,17:02:33,3,5900 S I15 SB,3,6272,481.42,40.34171,-111.75586,5,2,0.1667,4,24395,61353,61533,,,,,,
118,7/11/2018,7:49:24,35,3300 S I15 NB,3,25834,406.61,40.69989,-111.9019,5,3,0.2,2,24496,28164,30264,,,,,,
119,7/11/2018,16:35:25,46,600 N I15 NB,3,12986,586.38,40.77403,-111.91016,5,1,0.2,1,24923,59725,62485,,,,,,
120,7/12/2018,14:38:13,38,5500 S I15 SB,3,8006,700.65,40.65948,-111.90114,6,1,0.1667,1,46790,52693,54973,,,,,,
121,7/16/2018,15:29:51,75,2100 S I15 NB,3,6177,647.76,40.7185,-111.90433,4,2,0.3534,1,24913,55791,60291,,,,,,
122,7/19/2018,18:02:09,11,7200 S I15 SB,3,2591,509.75,40.68321,-111.90217,6,3,0.1429,1,24670,64929,65589,,,,,,
123,8/6/2018,7:46:07,19,3100 S I15 NB,3,5556,464.52,40.69989,-111.9019,5,3,0.475,1,24939,27967,29107,,,,,,
124,8/8/2018,8:03:57,28,273001 I15 SB,3,16346,726.11,40.29806,-111.72561,6,1,0.2051,1,4554,29037,30717,,,,,,
125,8/8/2018,12:36:51,66,8000 S I15 SB,3,10444,703.73,40.59854,-111.90346,7,1,0.1429,2,24983,45411,49371,,,,,,
126,8/10/2018,7:44:55,67,13000 S I15 NB,3,9949,601.04,40.51024,-111.89097,6,1,0.1667,1,24436,27895,31915,,,,,,
